SFB1_CUM_TOT_UVOL,44000 F
SFB1_CUM_TOT_CVOL,44002 F
SFB1_CUM_TOT_ENGY,44006 F
SFB1_NOW_UVOL,44008 F
SFB1_NOW_CVOL,44010 F
SFB1_NOW_ENGY,44014 F
SFB1_TMT_UVOL,44024 F
SFB1_TMT_CVOL,44026 F
SFB1_TMT_ENGY,44030 F
SFB1_DLY_PREV_UVOL,44040 F
SFB1_DLY_PREV_CVOL,44042 F
SFB1_DLY_PREV_ENGY,44046 F
SFB1_HLY_PREV_UVOL,44048 F
SFB1_HLY_PREV_CVOL,44050 F
SFB1_HLY_PREV_ENGY,44054 F
SFB1_MLY_PREV_UVOL,44056 F
SFB1_MLY_PREV_CVOL,44058 F
SFB1_MLY_PREV_ENGY,44062 F
SFB1_MOL_N2,44072 F
SFB1_MOL_CO2,44074 F
SFB1_MOL_C1,44080 F
SFB1_MOL_C2,44082 F
SFB1_MOL_C3,44084 F
SFB1_MOL_NC4,44086 F
SFB1_MOL_IC4,44088 F
SFB1_MOL_NC5,44090 F
SFB1_MOL_IC5,44092 F
SFB1_MOL_C6,44094 F
SFB1_MOL_TOT,44096 F
SFB1_BASE_PRESS,44106 F
SFB1_BASE_TMP,44108 F
SFB1_BASE_DENS,44122 F
SFB1_LINE_DENS,44124 F
SFB1_RELATIVE_DENS,44126 F
SFB1_HEATING_VALUE,44128 F
DPTA_INUSE_FB1,44136 F
PTA_INUSE_FB1,44138 F
TTA_INUSE_FB1,44140 F
STRA_UVOL_FR_FB1,44142 F
STRA_CVOL_FR_FB1,44144 F
STRA_MASS_FR_FB1,44146 F
STRA_ENER_FR_FB1,44148 F
SFB1_UVOL_AVG_PREV_PER,44150 F
SFB1_CVOL_AVG_PREV_PER,44152 F
SFB1_MASS_AVG_PREV_PER,44154 F
SFB1_ENGY_AVG_PREV_PER,44156 F
SFB1_UVOL_AVG_PREV_DAY,44158 F
SFB1_CVOL_AVG_PREV_DAY,44160 F
SFB1_MASS_AVG_PREV_DAY,44162 F
SFB1_ENGY_AVG_PREV_DAY,44164 F
SFB1_UVOL_AVG_PREV_MNT,44166 F
SFB1_CVOL_AVG_PREV_MNT,44168 F
SFB1_MASS_AVG_PREV_MNT,44170 F
SFB1_ENGY_AVG_PREV_MNT,44172 F
SFB1_CUR_DAY,44400 F
SFB1_CUR_MONTH,44402 F
SFB1_CUR_YEAR,44404 F
SFB1_CUR_HOUR,44406 F
SFB1_CUR_MINUTE,44408 F
SFB1_CUR_SECOND,44410 F
