PTA_MODE,47002 F
PTA_INUSE,47004 F
PTA_KYPD,47006 F
PTA_MEAS,47008 F
PTA_CUR,47010 F
PTA_LSCL,47012 F
PTA_HSCL,47014 F
PTA_HLIM,47016 F
PTA_LLIM,47018 F
DPTA_MODE,47020 F
DPTA_INUSE,47022 F
DPTA_KYPD,47024 F
DPTA_MEAS,47026 F
DPTA_CUR,47028 F
DPTA_LSCL,47030 F
DPTA_HSCL,47032 F
DPTA_HLIM,47034 F
DPTA_LLIM,47036 F
TTA_MODE,47038 F
TTA_INUSE,47040 F
TTA_KYPD,47042 F
TTA_MEAS,47044 F
TTA_CUR,47046 F
TTA_LSCL,47048 F
TTA_HSCL,47050 F
TTA_HLIM,47052 F
TTA_LLIM,47054 F
PT4_MODE,47056 F
PT4_INUSE,47058 F
PT4_KYPD,47060 F
PT4_MEAS,47062 F
PT4_CUR,47064 F
PT4_LSCL,47066 F
PT4_HSCL,47068 F
PT4_HLIM,47070 F
PT4_LLIM,47072 F
PT5_MODE,47074 F
PT5_INUSE,47076 F
PT5_KYPD,47078 F
PT5_MEAS,47080 F
PT5_CUR,47082 F
PT5_LSCL,47084 F
PT5_HSCL,47086 F
PT5_HLIM,47088 F
PT5_LLIM,47090 F
PTB_MODE,47092 F
PTB_INUSE,47094 F
PTB_KYPD,47096 F
PTB_MEAS,47098 F
PTB_CUR,47100 F
PTB_LSCL,47102 F
PTB_HSCL,47104 F
PTB_HLIM,47106 F
PTB_LLIM,47108 F
DPTB_MODE,47110 F
DPTB_INUSE,47112 F
DPTB_KYPD,47114 F
DPTB_MEAS,47116 F
DPTB_CUR,47118 F
DPTB_LSCL,47120 F
DPTB_HSCL,47122 F
DPTB_HLIM,47124 F
DPTB_LLIM,47126 F
TTB_MODE,47128 F
TTB_INUSE,47130 F
TTB_KYPD,47132 F
TTB_MEAS,47134 F
TTB_CUR,47136 F
TTB_LSCL,47138 F
TTB_HSCL,47140 F
TTB_HLIM,47142 F
TTB_LLIM,47144 F
STN1_CUM_TOT_UVOL,47146 F
STN1_CUM_TOT_CVOL,47148 F
STN1_CUM_TOT_ENGY,47152 F
STRA_CUM_TOT_UVOL,47154 F
STRA_CUM_TOT_CVOL,47156 F
STRA_CUM_TOT_ENGY,47160 F
STRB_CUM_TOT_UVOL,47162 F
STRB_CUM_TOT_CVOL,47164 F
STRB_CUM_TOT_ENGY,47168 F
STN1_HLY_PREV_UVOL,47170 F
STN1_HLY_PREV_CVOL,47172 F
STN1_HLY_PREV_ENGY,47176 F
STRA_HLY_PREV_UVOL,47178 F
STRA_HLY_PREV_CVOL,47180 F
STRA_HLY_PREV_ENGY,47184 F
STRB_HLY_PREV_UVOL,47186 F
STRB_HLY_PREV_CVOL,47188 F
STRB_HLY_PREV_ENGY,47192 F
STN1_DLY_PREV_UVOL,47242 F
STN1_DLY_PREV_CVOL,47244 F
STN1_DLY_PREV_ENGY,47248 F
STRA_DLY_PREV_UVOL,47250 F
STRA_DLY_PREV_CVOL,47252 F
STRA_DLY_PREV_ENGY,47256 F
STRB_DLY_PREV_UVOL,47258 F
STRB_DLY_PREV_CVOL,47260 F
STRB_DLY_PREV_ENGY,47264 F
STRA_NOWT_UVOL,47290 F
STRA_NOWT_CVOL,47292 F
STRA_NOWT_ENGY,47296 F
STRA_NOW1_UVOL,47298 F
STRA_NOW1_CVOL,47300 F
STRA_NOW1_ENGY,47304 F
STRA_NOW2_UVOL,47306 F
STRA_NOW2_CVOL,47308 F
STRA_NOW2_ENGY,47312 F
STN1_MLY_PREV_UVOL,47314 F 
STN1_MLY_PREV_CVOL,47316 F 
STN1_MLY_PREV_ENGY,47320 F 
STRA_MLY_PREV_UVOL,47322 F  
STRA_MLY_PREV_CVOL,47324 F 
STRA_MLY_PREV_ENGY,47328 F 
STRB_MLY_PREV_UVOL,47330 F  
STRB_MLY_PREV_CVOL,47332 F 
STRB_MLY_PREV_ENGY,47336 F 
STN1_MLY_UVOL,47366 F 
STN1_MLY_CVOL,47368 F 
STN1_MLY_ENGY,47372 F 
STRA_MLY_UVOL,47374 F  
STRA_MLY_CVOL,47376 F 
STRA_MLY_ENGY,47380 F 
STRB_MLY_UVOL,47382 F  
STRB_MLY_CVOL,47384 F 
STRB_MLY_ENGY,47388 F 
STN1_MNT_UVOL,47392 F
STN1_MNT_CVOL,47394 F
STN1_MNT_ENGY,47398 F
STRA_MNT_UVOL,47400 F
STRA_MNT_CVOL,47402 F
STRA_MNT_ENGY,47406 F
STRB_MNT_UVOL,47408 F
STRB_MNT_CVOL,47410 F
STRB_MNT_ENGY,47414 F
STN1_MASS_FR,47416 F
STN1_UVOL_FR,47418 F
STN1_CVOL_FR,47420 F
STN1_ENGY_FR,47422 F
STRA_MASS_FR,47424 F
STRA_UVOL_FR,47426 F
STRA_CVOL_FR,47428 F
STRA_ENGY_FR,47430 F
STRB_MASS_FR,47432 F
STRB_UVOL_FR,47434 F
STRB_CVOL_FR,47436 F
STRB_ENGY_FR,47438 F
STRA_BASE_DENS,47452 F 
STRA_RELATIVE_DENS,47454 F 
STRA_LINE_COMP,47456 F 
STRA_BASE_COMP,47458 F 
STRA_HEATING_VAL,47460 F 
STRA_ISENTROPIC,47462 F 
STRA_WOBBE_INDEX,47466 F 
STRA_LINE_DENS,47468 F 
STRB_BASE_DENS,47472 F 
STRB_RELATIVE_DENS,47474 F 
STRB_LINE_COMP,47476 F 
STRB_BASE_COMP,47478 F 
STRB_HEATING_VAL,47480 F 
STRB_ISENTROPIC,47482 F 
STRB_WOBBE_INDEX,47486 F 
STRB_LINE_DENS,47488 F 
STRA_BASE_TMP,47492 F 
STRA_BASE_PRESS,47494 F 
STRA_PIPE_DIA,47496 F 
STRA_ORIFICE_DIA,47498 F 
STRB_BASE_TMP,47512 F 
STRB_BASE_PRESS,47514 F 
STRB_PIPE_DIA,47516 F 
STRB_ORIFICE_DIA,47518 F 
MOLE_SELECT_OUT,47534 F
MOLE_SELECT_IN,47536 F
STN1_SLCT_MOL_N2,47538 F
STN1_SLCT_MOL_CO2,47540 F
STN1_SLCT_MOL_C1,47546 F
STN1_SLCT_MOL_C2,47548 F
STN1_SLCT_MOL_C3,47550 F
STN1_SLCT_MOL_NC4,47552 F
STN1_SLCT_MOL_IC4,47554 F
STN1_SLCT_MOL_NC5,47556 F
STN1_SLCT_MOL_IC5,47558 F
STN1_SLCT_MOL_C6,47560 F
STN1_SLCT_MOL_TOT,47562 F
STN1_RAW_MOL_C6,47564 F
STN1_RAW_MOL_C3,47566 F
STN1_RAW_MOL_IC4,47568 F
STN1_RAW_MOL_NC4,47570 F
STN1_RAW_MOL_IC5,47572 F
STN1_RAW_MOL_NC5,47574 F
STN1_RAW_MOL_N2,47576 F
STN1_RAW_MOL_C1,47578 F
STN1_RAW_MOL_CO2,47580 F
STN1_RAW_MOL_C2,47582 F
STN1_KYPD_MOL_N2,47598 F
STN1_KYPD_MOL_CO2,47600 F
STN1_KYPD_MOL_C1,47606 F
STN1_KYPD_MOL_C2,47608 F
STN1_KYPD_MOL_C3,47610 F
STN1_KYPD_MOL_NC4,47612 F
STN1_KYPD_MOL_IC4,47614 F
STN1_KYPD_MOL_NC5,47616 F
STN1_KYPD_MOL_IC5,47618 F
STN1_KYPD_MOL_C6,47620 F
STN1_KYPD_MOL_TOT,47622 F
CHRK_ACCEPT,47624 F
STN1_GC_RUNTIME,47626 F
STN1_GC_CURSTREAM,47628 F
STN1_GC_MODE,47630 F
STN1_GC_CALIBRATE,47632 F
STN1_GC_ACT_ALARM,47634 F
STN1_GC_UNACT_ALARM,47636 F
STRA_MAINT_MODE,47638 F
STRA_MAINT_STATUS,47640 F
STRB_MAINT_MODE,47642 F
STRB_MAINT_STATUS,47644 F
STRA_HLY_PREV_PRESS,47646 F 
STRA_HLY_PREV_TEMP,47648 F 
STRA_HLY_PREV_DPT,47650 F 
STRA_HLY_AVGFR_UVOL,47654 F
STRA_HLY_AVGFR_CVOL,47656 F
